"","Var1","Freq"
"1","-1",7151
"2","0",18
"3","1",22
"4","2",107
"5","3",29
"6","4",39
"7","5",21
"8","6",38
"9","7",55
"10","8",44
"11","9",43
"12","10",79
"13","11",53
"14","12",78
"15","13",30
"16","14",40
"17","15",120
"18","16",55
"19","17",32
"20","18",40
"21","19",21
"22","20",21
"23","21",38
"24","22",22
"25","23",58
"26","24",63
"27","25",21
"28","26",288
"29","27",33
"30","28",51
"31","29",24
"32","30",30
"33","31",49
"34","32",54
"35","33",31
"36","34",76
"37","35",77
"38","36",119
"39","37",44
"40","38",41
"41","39",33
"42","40",40
"43","41",37
"44","42",56
"45","43",205
"46","44",62
"47","45",41
"48","46",21
"49","47",40
"50","48",105
"51","49",39
"52","50",80
"53","51",147
"54","52",35
"55","53",31
"56","54",19
"57","55",22
"58","56",200
"59","57",153
"60","58",105
"61","59",37
"62","60",99
"63","61",24
"64","62",43
"65","63",55
"66","64",49
"67","65",75
"68","66",39
"69","67",25
"70","68",58
"71","69",104
"72","70",45
"73","71",295
"74","72",93
"75","73",60
"76","74",40
"77","75",35
"78","76",300
"79","77",30
"80","78",19
"81","79",18
"82","80",95
"83","81",35
"84","82",301
"85","83",78
"86","84",30
"87","85",46
"88","86",305
"89","87",71
"90","88",82
"91","89",93
"92","90",57
"93","91",64
"94","92",60
"95","93",37
"96","94",149
"97","95",111
"98","96",27
