"","Var1","Freq"
"1","-1",5884
"2","0",33
"3","1",38
"4","2",14
"5","3",50
"6","4",10
"7","5",83
"8","6",58
"9","7",21
"10","8",7
"11","9",55
"12","10",38
"13","11",10
"14","12",5
"15","13",47
"16","14",82
"17","15",166
"18","16",11
"19","17",51
"20","18",40
"21","19",42
"22","20",80
"23","21",42
"24","22",99
"25","23",77
"26","24",27
"27","25",55
"28","26",119
"29","27",44
"30","28",28
"31","29",68
"32","30",11
"33","31",45
"34","32",32
"35","33",16
"36","34",96
"37","35",120
"38","36",22
"39","37",7
"40","38",57
"41","39",9
"42","40",5
"43","41",28
"44","42",24
"45","43",8
"46","44",43
"47","45",45
"48","46",76
"49","47",60
"50","48",16
"51","49",41
"52","50",69
"53","51",50
"54","52",5
"55","53",25
"56","54",6
"57","55",21
"58","56",37
"59","57",186
"60","58",60
"61","59",25
"62","60",5
"63","61",27
"64","62",23
"65","63",25
"66","64",35
"67","65",29
"68","66",29
"69","67",73
"70","68",7
"71","69",5
"72","70",40
"73","71",27
"74","72",50
"75","73",142
"76","74",6
"77","75",202
"78","76",49
"79","77",21
"80","78",99
"81","79",230
"82","80",8
"83","81",37
"84","82",27
"85","83",32
"86","84",58
"87","85",23
"88","86",56
"89","87",43
"90","88",25
"91","89",38
"92","90",124
"93","91",48
"94","92",110
"95","93",22
"96","94",15
"97","95",98
"98","96",15
"99","97",66
"100","98",20
"101","99",70
"102","100",49
"103","101",28
"104","102",45
"105","103",11
"106","104",311
"107","105",37
"108","106",21
"109","107",5
"110","108",302
"111","109",55
"112","110",9
"113","111",49
"114","112",61
"115","113",94
"116","114",24
"117","115",24
"118","116",32
"119","117",7
"120","118",40
"121","119",36
"122","120",25
"123","121",26
"124","122",38
"125","123",80
"126","124",36
"127","125",22
"128","126",52
"129","127",6
"130","128",25
"131","129",23
"132","130",30
"133","131",242
"134","132",97
"135","133",64
"136","134",49
"137","135",16
"138","136",75
"139","137",10
"140","138",120
"141","139",123
"142","140",5
"143","141",16
"144","142",75
"145","143",25
"146","144",252
"147","145",102
"148","146",100
"149","147",60
"150","148",15
"151","149",10
"152","150",130
"153","151",19
"154","152",14
