"","Var1","Freq"
"1","-1",5796
"2","0",7
"3","1",35
"4","2",8
"5","3",20
"6","4",91
"7","5",53
"8","6",22
"9","7",67
"10","8",78
"11","9",15
"12","10",5
"13","11",40
"14","12",80
"15","13",43
"16","14",100
"17","15",21
"18","16",21
"19","17",8
"20","18",76
"21","19",55
"22","20",94
"23","21",59
"24","22",80
"25","23",48
"26","24",96
"27","25",121
"28","26",20
"29","27",131
"30","28",5
"31","29",21
"32","30",61
"33","31",60
"34","32",33
"35","33",10
"36","34",41
"37","35",71
"38","36",34
"39","37",36
"40","38",36
"41","39",28
"42","40",10
"43","41",26
"44","42",36
"45","43",32
"46","44",24
"47","45",25
"48","46",34
"49","47",22
"50","48",28
"51","49",60
"52","50",21
"53","51",42
"54","52",12
"55","53",40
"56","54",21
"57","55",50
"58","56",46
"59","57",40
"60","58",44
"61","59",46
"62","60",9
"63","61",44
"64","62",30
"65","63",44
"66","64",6
"67","65",23
"68","66",54
"69","67",8
"70","68",203
"71","69",19
"72","70",14
"73","71",21
"74","72",102
"75","73",30
"76","74",57
"77","75",22
"78","76",69
"79","77",77
"80","78",82
"81","79",6
"82","80",50
"83","81",24
"84","82",41
"85","83",99
"86","84",22
"87","85",36
"88","86",43
"89","87",48
"90","88",38
"91","89",37
"92","90",119
"93","91",116
"94","92",40
"95","93",21
"96","94",21
"97","95",60
"98","96",32
"99","97",29
"100","98",51
"101","99",47
"102","100",24
"103","101",44
"104","102",53
"105","103",21
"106","104",40
"107","105",5
"108","106",6
"109","107",109
"110","108",34
"111","109",14
"112","110",15
"113","111",52
"114","112",59
"115","113",17
"116","114",307
"117","115",145
"118","116",32
"119","117",60
"120","118",38
"121","119",12
"122","120",38
"123","121",43
"124","122",19
"125","123",94
"126","124",24
"127","125",48
"128","126",86
"129","127",305
"130","128",23
"131","129",19
"132","130",98
"133","131",5
"134","132",64
"135","133",19
"136","134",54
"137","135",81
"138","136",100
"139","137",28
"140","138",16
"141","139",14
"142","140",13
"143","141",92
"144","142",30
"145","143",98
"146","144",133
"147","145",50
"148","146",119
"149","147",75
"150","148",90
"151","149",103
"152","150",13
"153","151",281
"154","152",23
"155","153",9
"156","154",25
"157","155",59
"158","156",41
"159","157",5
"160","158",107
